asset_id,asset_type,asset_age_years,substation_region,manufacturer,power_load_mw,load_utilization_pct,voltage_fluctuation_pct,frequency_deviation_hz,transformer_temperature_c,oil_quality_score,equipment_health_score,vibration_level,maintenance_overdue_days,maintenance_events_last_12m,inspection_score,previous_outages_12m,avg_outage_duration_minutes,customer_complaints_last_12m,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,storm_risk_index,customers_served,estimated_revenue_loss,regulatory_penalty_cost,legacy_asset_code,grid_cluster_id,monitoring_batch_id,administrative_reference,grid_failure_flag,failure_probability,risk_category,business_impact_index,maintenance_priority_score,priority_rank,recommended_action
126404,Transmission Line,8,South,Schneider,135.273057188818,97.5084301966258,8.69110181150796,-0.0316891340226563,91.5027630409895,34.2484989729743,76.1755838003622,7.77193127639004,159,2,8.72195768170826,0,40.7966811173753,7,11.1134702672985,55.9632889321988,111.331791479933,72.9875400570111,94.553733066992,99980,793883.097243822,138777.200771313,541719,35,8585,347783,1,1.0,Critical,0.9998098040982212,0.9999049020491106,1,Immediate engineering review / inspection
139691,Substation,6,Central,Siemens,134.637182161376,91.7517138792531,11.6491660068099,0.307533466377037,61.2952443347322,96.3081785401314,22.2097191402199,2.1029831759249,144,4,14.2298564841118,1,108.275676395352,6,37.9182379297216,64.4314803927056,100.414546841267,44.391204453712,88.6205923719894,99675,309387.638468926,312365.829219287,842837,4,4767,944934,1,1.0,Critical,0.9967566593591399,0.99837832967957,2,Immediate engineering review / inspection
109138,Circuit Breaker,32,East,Hitachi,100.438918757074,37.6940946949572,14.9465466175234,-0.303300349273619,62.5871993396073,10.3108925072986,18.5899891108554,13.4746362372315,128,4,,1,53.7781060683186,5,18.5254705994347,38.6756229356055,34.2023626814492,11.6593087793832,77.2251652236208,99500,70118.4380615294,144215.99466725,685761,15,3938,146307,1,1.0,Critical,0.9950048550006507,0.9975024275003254,3,Immediate engineering review / inspection
117851,Transformer,2,South,Schneider,124.200131238226,90.3900406762929,9.07854032841266,0.206220200245789,109.744815063206,36.2281775259523,83.8639731717028,19.6001814490272,115,1,42.4762479888637,0,90.1353959071584,5,44.5681570766992,98.5717409712675,113.039273356596,20.5477517050652,78.1097874992458,99419,1335.10618030274,41085.958733065,131367,22,9975,171983,1,1.0,Critical,0.9941940198404356,0.9970970099202179,4,Immediate engineering review / inspection
134864,Substation,9,North,ABB,141.306012455605,80.3641683009657,13.977299496838,-0.406426700108366,58.6486477388836,28.4734722053284,23.569609906545,8.57802399387904,167,6,0.82226736028681,3,17.4718404392022,1,27.5017879847584,57.5719722962439,42.5159363524765,28.6529834275422,82.3186250857195,98979,305400.739393341,308236.610565269,115322,4,1994,913992,1,1.0,Critical,0.9897894831676627,0.9948947415838314,5,Immediate engineering review / inspection
124959,Switchgear,36,East,Siemens,70.3754636842923,73.4319483963874,14.3060830289539,0.151937339773434,61.7782594609996,19.3270064144198,3.25335488504224,7.15754529569623,159,3,44.580263536685,4,183.570319253473,1,25.5300589704493,74.596618876233,87.3532478067824,17.3871662306695,89.4703068169395,98478,612648.455005308,334471.222885998,360575,7,9059,976062,1,1.0,Critical,0.9847743175470735,0.9923871587735367,6,Immediate engineering review / inspection
132558,Circuit Breaker,21,East,Schneider,52.4354172337385,90.8407376095671,10.1681907357658,0.412117016955588,66.657705220393,9.52141624641932,32.9168167134481,8.53913142262975,84,1,24.4082971287743,1,78.0278019887991,3,37.3746293786623,89.2310988270123,71.8045917155612,11.2221014497062,89.8419488019701,99058,65149.5835505727,472563.679436234,608956,22,2891,108903,1,0.9962035184900241,Critical,0.9905802977066378,0.9915115482061361,7,Immediate engineering review / inspection
139413,Transmission Line,25,South,Schneider,133.820801481808,92.1842502567422,2.28468845196192,-0.142198989241353,66.7953036859872,32.0993849244639,35.6402943916673,13.8504707430867,158,2,19.147552154318,6,44.2974726695,7,18.5043147551348,60.3044768072936,36.7510534415186,11.0919672208663,98.4732150553189,98285,487274.938712563,85612.029784073,367723,45,9301,359161,1,1.0,Critical,0.9828423275974254,0.9914211637987127,8,Immediate engineering review / inspection
117865,Transformer,11,South,ABB,125.358490430946,76.9899627343914,11.5269721322703,-0.126413196608748,78.7269764179375,49.2579952300623,26.4845972099198,4.10786403632153,99,2,28.8277776938532,1,29.9273431410418,7,27.6588685708187,42.7879555970011,73.7110667365579,15.8447062920762,88.6932172540531,99002,10110.1352398022,84251.2175780192,491583,7,6474,832037,1,0.9962035184900241,Critical,0.9900197203119213,0.9912323236196349,9,Immediate engineering review / inspection
132443,Transmission Line,4,Central,Schneider,83.5222428663099,63.8614578075626,7.67517728734571,-0.527129143214019,78.4714844833185,4.35798029721291,32.3785134976337,12.8613927956121,116,3,15.2846291164201,2,26.5575509541211,6,10.0720219806141,83.7104611692477,66.382694473947,31.6329500492205,88.7765839236136,98175,184942.716625379,197184.543911126,116790,1,9699,852443,1,1.0,Critical,0.9817411934292322,0.9908705967146161,10,Immediate engineering review / inspection
104372,Switchgear,32,Central,Hitachi,63.5638313117181,79.8048128618507,9.46218537227692,-0.20316011278188,83.0192727778593,73.1772760639208,27.6744401717282,17.93477529925,157,4,21.460803774019,1,55.9327146257861,2,38.6103005959097,89.9952998131742,73.0299367242184,51.9363679854346,91.5335213739462,98173,621474.022666489,88522.5733619992,625616,20,8902,657495,1,1.0,Critical,0.9817211728079922,0.9908605864039961,11,Immediate engineering review / inspection
101155,Transformer,17,Central,ABB,73.8314850958421,38.2588125864287,14.5107828398754,0.113612875617593,73.0556012234199,57.8847369790825,7.7253954877876,17.1645952761936,163,3,26.1927036078511,1,158.567925347636,3,34.7250259510076,90.8402973835569,91.168169688534,42.671655358593,90.9770846628808,99774,81720.733685587,499709.419438662,103911,47,7896,894264,1,0.990926416515748,Critical,0.9977476801105138,0.9898104748772801,12,Immediate engineering review / inspection
118282,Transformer,22,East,GE,137.271342556663,97.8603815528419,11.6762219368243,-0.0440242441365737,59.5756245029158,6.18310755152353,19.2623937191458,4.94342274088952,144,3,6.45211153100216,2,103.748803454338,3,31.4760822606464,93.2935542253936,71.5224343804263,20.7884926452454,73.3168937218235,97940,473801.160267054,222567.123309725,827883,28,8953,405584,1,1.0,Critical,0.9793887704335466,0.9896943852167732,13,Immediate engineering review / inspection
128397,Substation,29,West,GE,104.684924100611,97.8482592006467,10.3426477736429,-0.196757161216545,76.3296414587973,19.2483907918106,11.6796741284479,12.5981652057855,21,2,84.4499454471829,2,93.556854603877,6,43.590604067209,46.2695217439217,32.3108447055541,8.97876636786262,48.6500153744621,97824,567817.984186542,409821.882234393,865828,45,8704,559813,1,1.0,Critical,0.9782275744016337,0.9891137872008169,14,Immediate engineering review / inspection
119357,Circuit Breaker,26,West,Hitachi,84.5060428692262,44.5803390602529,11.7743025714369,-0.0360795266191663,51.0512092405573,20.0198782532247,8.43847970834838,16.2166308997522,102,1,,3,80.2277335081343,5,41.4013183343951,70.0818692911558,82.1638602274537,28.5898691418143,87.896692912343,99444,357696.265657933,374921.359579719,153475,18,6850,738627,1,0.9908634869242837,Critical,0.9944442776059341,0.9881110056924,15,Immediate engineering review / inspection
103590,Circuit Breaker,36,East,Schneider,81.6563468575138,44.2905036747866,13.2533600391738,-0.235277213294211,96.802930893272,39.4884058378581,3.2803285519923,3.70880199643834,147,1,13.5610011173368,1,34.2723996932645,2,11.5551325101157,57.2253520993468,64.560178707499,26.8792152499188,71.8096667421924,97623,302772.088031177,482411.92791133,177413,1,7304,696547,1,1.0,Critical,0.976215501967026,0.988107750983513,16,Immediate engineering review / inspection
117350,Transmission Line,15,South,Siemens,88.857642882573,54.2638123769692,13.0114691552829,-0.323048613177091,62.2129598132012,47.7884578944055,4.26029889694245,0.704203730588994,119,3,31.9853326769221,1,71.5825315192207,1,29.9584487109063,97.4993747143071,17.305390926857,22.3571600992386,78.5409106115794,99421,408592.379186638,52051.61420485,631830,33,6314,152160,1,0.9908513881600319,Critical,0.9942140404616755,0.9879848751398387,17,Immediate engineering review / inspection
115859,Switchgear,22,Central,ABB,88.5222105154119,53.8196450785846,14.2106196073587,-0.451216301525951,60.3494182961782,11.1587308874205,5.24301687665741,3.63656551976728,75,6,22.3537170623202,3,43.9484134151264,6,34.7973205624671,64.1672233099956,112.413321214404,45.6128091160787,95.5712226492799,98306,697926.271192239,292996.390211732,155244,44,9708,525395,1,0.9962878394741395,Critical,0.9830525441204441,0.9878455673727264,18,Immediate engineering review / inspection
104856,Circuit Breaker,5,West,ABB,103.808190322661,37.3246700147945,11.539744308367,-0.0472427851183479,89.217934273249,26.5982797096409,2.77105243338919,16.7821142009188,153,1,94.1953904313047,2,52.7685828183732,4,20.4797666169343,30.8705811885099,119.830250222868,16.4228602071525,94.9196154004758,99643,870196.409077191,15897.4358059524,361375,20,4273,515520,1,0.9888805510307423,Critical,0.9964363294193019,0.9871185287669759,19,Immediate engineering review / inspection
145531,Transmission Line,39,North,Siemens,73.9476417776771,50.4422443336251,5.20761040594309,-0.148111574337395,72.9685018920114,27.5329476801627,1.52957939735011,8.47333501680059,146,6,7.39971963321157,3,80.8599014525319,6,30.3962181559181,84.1038040201,23.2476836643423,16.9176453372847,90.4637109249557,98385,5054.62437149493,251338.388412271,323673,29,1260,598181,1,0.9946121034778937,Critical,0.9838433586594192,0.9865773079634473,20,Immediate engineering review / inspection
142872,Transmission Line,5,West,Hitachi,64.4001011173683,61.77392341258,7.81043249580785,0.238526763746573,52.9048271858111,28.6183677619643,5.68114566511822,7.05973508322228,137,3,33.2721024554393,1,61.0178853155634,5,47.1542169606695,33.29485395723,43.4987406318161,35.1623622174152,93.4004310457147,97079,246701.28001209,406720.278729335,151754,21,6527,813099,1,1.0,Critical,0.9707698929897794,0.9853849464948897,21,Immediate engineering review / inspection
